"ID","stratum","obs","step","angle","ice_conc","times"
"bear1",4,0,5.99470346552939,-2.97936853297643,94.6246255028014,1
"bear1",4,0,5.18399202109724,-2.29689703727972,94.4482241525779,1
"bear1",4,0,0.625108048444033,2.105138189579,98.0075725192045,1
"bear1",4,0,6.62811927021758,0.928786079910604,98.2801681087695,1
"bear1",4,0,10.7525238170358,-2.39578166087066,89.6073696312376,1
"bear1",5,1,0.376946106345291,1.33250199883032,98.1211875123558,1
"bear1",5,0,2.19991132414087,0.45925480636344,98.824763615812,1
"bear1",5,0,5.07473865830969,1.03797539543403,97.9538294729143,1
"bear1",5,0,0.438410073226709,-1.16326828923652,98.1236913808015,1
"bear1",5,0,1.58600528537424,1.91242416339645,97.1550879554471,1
"bear1",5,0,7.01150551912674,-1.36942934215714,99.9998694072222,1
"bear1",5,0,6.83442281221706,-3.06423628366226,93.1603155578777,1
"bear1",5,0,9.61608942448664,2.86154541226224,94.2303698772115,1
"bear1",5,0,7.85417270743842,-1.35272021368655,99.9871371113769,1
"bear1",5,0,1.38974271880448,2.74077139702953,96.7067268422019,1
"bear1",5,0,0.37852480180493,-2.85570294080958,97.961416160494,1
"bear1",5,0,1.63114175137943,-1.36835620258213,98.1443122402494,1
"bear1",5,0,7.58472758021871,-2.13735294177163,97.9957589525869,1
"bear1",5,0,1.20703745397031,2.78842870374848,96.8804016976533,1
"bear1",5,0,0.732600938005458,-1.34751339721891,98.1212495752813,1
"bear1",5,0,0.359216563175439,3.10761769682548,98.0896563532479,1
"bear1",5,0,6.83850324095342,-2.37451370139638,96.1970585562008,1
"bear1",5,0,1.81864824065334,-2.43245007040504,97.2202769744673,1
"bear1",5,0,0.495184985926153,-0.500988863749083,98.1725014134392,1
"bear1",5,0,1.31981544076258,-0.788879948944106,98.4053566147063,1
"bear1",5,0,7.12860437506935,-0.19401778359056,99.664383318587,1
"bear1",6,1,0.839041583626827,2.76662847246631,97.842304591805,1
"bear1",6,0,0.734853918213268,0.780623668746846,97.4749073472386,1
"bear1",6,0,6.19682724458978,-1.65311930127018,99.933706010242,1
"bear1",6,0,4.51321210404845,-2.32504269965295,99.2240771694303,1
"bear1",6,0,0.580923826248048,-0.443171797322187,98.3993501866216,1
"bear1",6,0,1.99808258747829,-3.02318155204638,97.8975397316769,1
"bear1",6,0,0.540113565299577,2.94461768343713,98.0328201802425,1
"bear1",6,0,1.77087200570831,-0.833766705430147,98.9317034576508,1
"bear1",6,0,0.763787738633796,-2.40189371433025,98.1868967786397,1
"bear1",6,0,4.1691874189062,1.36951501591555,94.6566858866359,1
